Image[48,167] - Red: 255, Green: 232, Blue: 232
Image[48,168] - Red: 255, Green: 74, Blue: 74
Image[48,169] - Red: 255, Green: 0, Blue: 0
Image[48,170] - Red: 255, Green: 0, Blue: 0
Image[48,171] - Red: 255, Green: 0, Blue: 0
Image[48,172] - Red: 255, Green: 0, Blue: 0
Image[48,173] - Red: 255, Green: 0, Blue: 0
Image[48,174] - Red: 255, Green: 0, Blue: 0
Image[48,175] - Red: 255, Green: 0, Blue: 0
Image[48,176] - Red: 255, Green: 0, Blue: 0
Image[48,177] - Red: 255, Green: 0, Blue: 0
Image[48,178] - Red: 255, Green: 0, Blue: 0
Image[48,179] - Red: 255, Green: 0, Blue: 0
Image[48,180] - Red: 255, Green: 0, Blue: 0
Image[48,181] - Red: 255, Green: 0, Blue: 0
Image[48,182] - Red: 255, Green: 0, Blue: 0
Image[48,183] - Red: 255, Green: 0, Blue: 0
Image[48,184] - Red: 255, Green: 0, Blue: 0
Image[48,185] - Red: 255, Green: 0, Blue: 0
Image[48,186] - Red: 255, Green: 0, Blue: 0
Image[48,187] - Red: 255, Green: 0, Blue: 0
Image[48,188] - Red: 255, Green: 0, Blue: 0
Image[48,189] - Red: 255, Green: 0, Blue: 0
Image[48,190] - Red: 255, Green: 0, Blue: 0
Image[48,191] - Red: 255, Green: 0, Blue: 0
Image[48,192] - Red: 255, Green: 0, Blue: 0
Image[48,193] - Red: 255, Green: 0, Blue: 0
Image[48,194] - Red: 255, Green: 0, Blue: 0
Image[48,195] - Red: 255, Green: 0, Blue: 0
Image[48,196] - Red: 255, Green: 0, Blue: 0
Image[48,197] - Red: 255, Green: 0, Blue: 0
Image[48,198] - Red: 255, Green: 0, Blue: 0
Image[48,199] - Red: 255, Green: 0, Blue: 0
Image[48,200] - Red: 255, Green: 0, Blue: 0
Image[48,201] - Red: 255, Green: 0, Blue: 0
Image[48,202] - Red: 255, Green: 0, Blue: 0
Image[48,203] - Red: 255, Green: 0, Blue: 0
Image[48,204] - Red: 255, Green: 0, Blue: 0
Image[48,205] - Red: 255, Green: 0, Blue: 0
Image[48,206] - Red: 255, Green: 0, Blue: 0
Image[48,207] - Red: 255, Green: 0, Blue: 0
Image[48,208] - Red: 255, Green: 0, Blue: 0
Image[48,209] - Red: 255, Green: 0, Blue: 0
Image[48,210] - Red: 255, Green: 0, Blue: 0
Image[48,211] - Red: 255, Green: 0, Blue: 0
Image[48,212] - Red: 255, Green: 0, Blue: 0
Image[48,213] - Red: 255, Green: 0, Blue: 0
Image[48,214] - Red: 255, Green: 0, Blue: 0
Image[48,215] - Red: 255, Green: 0, Blue: 0
Image[48,216] - Red: 255, Green: 0, Blue: 0
Image[48,217] - Red: 255, Green: 0, Blue: 0
Image[48,218] - Red: 255, Green: 0, Blue: 0
Image[48,219] - Red: 255, Green: 0, Blue: 0
Image[48,220] - Red: 255, Green: 38, Blue: 38
Image[48,221] - Red: 255, Green: 223, Blue: 223
Image[48,222] - Red: 255, Green: 254, Blue: 254
Image[49,165] - Red: 255, Green: 254, Blue: 254
Image[49,166] - Red: 255, Green: 223, Blue: 223
Image[49,167] - Red: 255, Green: 38, Blue: 38
Image[49,168] - Red: 255, Green: 0, Blue: 0
Image[49,169] - Red: 255, Green: 0, Blue: 0
Image[49,170] - Red: 255, Green: 0, Blue: 0
Image[49,171] - Red: 255, Green: 0, Blue: 0
Image[49,172] - Red: 255, Green: 0, Blue: 0
Image[49,173] - Red: 255, Green: 0, Blue: 0
Image[49,174] - Red: 255, Green: 0, Blue: 0
Image[49,175] - Red: 255, Green: 0, Blue: 0
Image[49,176] - Red: 255, Green: 0, Blue: 0
Image[49,177] - Red: 255, Green: 0, Blue: 0
Image[49,178] - Red: 255, Green: 0, Blue: 0
Image[49,179] - Red: 255, Green: 0, Blue: 0
Image[49,180] - Red: 255, Green: 0, Blue: 0
Image[49,181] - Red: 255, Green: 0, Blue: 0
Image[49,182] - Red: 255, Green: 0, Blue: 0
Image[49,183] - Red: 255, Green: 0, Blue: 0
Image[49,184] - Red: 255, Green: 0, Blue: 0
Image[49,185] - Red: 255, Green: 0, Blue: 0
Image[49,186] - Red: 255, Green: 0, Blue: 0
Image[49,187] - Red: 255, Green: 0, Blue: 0
Image[49,188] - Red: 255, Green: 0, Blue: 0
Image[49,189] - Red: 255, Green: 0, Blue: 0
Image[49,190] - Red: 255, Green: 0, Blue: 0
Image[49,191] - Red: 255, Green: 0, Blue: 0
Image[49,192] - Red: 255, Green: 0, Blue: 0
Image[49,193] - Red: 255, Green: 0, Blue: 0
Image[49,194] - Red: 255, Green: 0, Blue: 0
Image[49,195] - Red: 255, Green: 0, Blue: 0
Image[49,196] - Red: 255, Green: 0, Blue: 0
Image[49,197] - Red: 255, Green: 0, Blue: 0
Image[49,198] - Red: 255, Green: 0, Blue: 0
Image[49,199] - Red: 255, Green: 0, Blue: 0
Image[49,200] - Red: 255, Green: 0, Blue: 0
Image[49,201] - Red: 255, Green: 0, Blue: 0
Image[49,202] - Red: 255, Green: 0, Blue: 0
Image[49,203] - Red: 255, Green: 0, Blue: 0
Image[49,204] - Red: 255, Green: 0, Blue: 0
Image[49,205] - Red: 255, Green: 0, Blue: 0
Image[49,206] - Red: 255, Green: 0, Blue: 0
Image[49,207] - Red: 255, Green: 0, Blue: 0
Image[49,208] - Red: 255, Green: 0, Blue: 0
Image[49,209] - Red: 255, Green: 0, Blue: 0
Image[49,210] - Red: 255, Green: 0, Blue: 0
Image[49,211] - Red: 255, Green: 0, Blue: 0
Image[49,212] - Red: 255, Green: 0, Blue: 0
Image[49,213] - Red: 255, Green: 0, Blue: 0
Image[49,214] - Red: 255, Green: 0, Blue: 0
Image[49,215] - Red: 255, Green: 0, Blue: 0
Image[49,216] - Red: 255, Green: 0, Blue: 0
Image[49,217] - Red: 255, Green: 0, Blue: 0
Image[49,218] - Red: 255, Green: 0, Blue: 0
Image[49,219] - Red: 255, Green: 0, Blue: 0
Image[49,220] - Red: 255, Green: 0, Blue: 0
Image[49,221] - Red: 255, Green: 0, Blue: 0
Image[49,222] - Red: 255, Green: 190, Blue: 190
Image[50,165] - Red: 255, Green: 223, Blue: 223
Image[50,166] - Red: 255, Green: 38, Blue: 38
Image[50,167] - Red: 255, Green: 0, Blue: 0
Image[50,168] - Red: 255, Green: 0, Blue: 0
Image[50,169] - Red: 255, Green: 0, Blue: 0
Image[50,170] - Red: 255, Green: 0, Blue: 0
Image[50,171] - Red: 255, Green: 0, Blue: 0
Image[50,172] - Red: 255, Green: 0, Blue: 0
Image[50,173] - Red: 255, Green: 0, Blue: 0
Image[50,174] - Red: 255, Green: 0, Blue: 0
Image[50,175] - Red: 255, Green: 0, Blue: 0
Image[50,176] - Red: 255, Green: 0, Blue: 0
Image[50,177] - Red: 255, Green: 0, Blue: 0
Image[50,178] - Red: 255, Green: 0, Blue: 0
Image[50,179] - Red: 255, Green: 0, Blue: 0
Image[50,180] - Red: 255, Green: 0, Blue: 0
Image[50,181] - Red: 255, Green: 0, Blue: 0
